drug.name,Genes,PPI,GO_BP,GO_CC,GO_MF,KEGG,Reactome,score
"(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-Ethyl-4-Hydroxy-3,5,11-Trimethyl-8-Oxo-1-Oxa-7-Azaspiro[5.5]Undec-2-Yl]-8-Hydroxy-1,7-Dimethylnona-1,3-Dienyl}-10,12-Dihydroxy-3-(3-Hydroxybenzyl)-6-Isopropyl-11-Methyl-",290,348,1372,881,201,226,676,570.571428571428
1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine,290,348,1372,881,201,226,676,570.571428571428
APR-246,290,348,1372,881,201,226,676,570.571428571428
Cidofovir,290,348,1372,881,201,226,676,570.571428571428
Cilengitide,290,348,1372,881,201,226,676,570.571428571428
Thymectacin,290,348,1372,881,201,226,676,570.571428571428
Acetylcholine,1092,1124,248,96,269,634,537,571.428571428571
Sofalcone,111,418,424,923,1000,585,554,573.571428571428
5-(2-methylpiperazine-1-sulfonyl)isoquinoline,1147,277,213,358,1185,454,384,574
Albendazole,909,255,575,634,295,624,728,574.285714285714
Calcium gluconate,1147,482,585,598,684,131,398,575
Teriflunomide,834,251,399,1087,492,623,343,575.571428571428
Dabrafenib,168,455,605,991,690,134,991,576.285714285714
Citalopram,103,1512,281,362,404,551,851,580.571428571428
Bendamustine,984,423,268,802,748,382,465,581.714285714285
PD-0325901,534,317,1267,853,590,281,231,581.857142857142
Icosapent,1015,1290,163,26,100,1146,351,584.428571428571
Etorphine,909,717,619,311,1070,122,345,584.714285714285
Rolipram,493,1153,459,251,737,638,373,586.285714285714
4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine,290,624,925,514,660,890,202,586.428571428571
"8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-",290,624,925,514,660,890,202,586.428571428571
9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,290,624,925,514,660,890,202,586.428571428571
Piperine,1026,406,939,381,361,715,283,587.285714285714
Dichloroacetic Acid,909,260,990,939,153,543,326,588.571428571428
Uric Acid,684,1192,264,484,795,489,217,589.285714285714
Pyrimethamine,964,1009,387,666,465,356,279,589.428571428571
Tranilast,975,532,227,567,671,968,188,589.714285714285
Salirasib,151,486,815,1043,1238,110,293,590.857142857142
Midazolam,984,225,415,843,464,527,690,592.571428571428
8-Bromo-Adenosine-5'-Monophosphate,290,501,914,916,381,797,352,593
PF-03758309,290,501,914,916,381,797,352,593
Sodium iodide,1147,427,254,459,877,614,374,593.142857142857
Resatorvid,534,262,953,1219,506,417,265,593.714285714285
Isopropyl Alcohol,820,423,339,799,467,401,911,594.285714285714
Gatifloxacin,834,1137,371,1122,483,45,189,597.285714285714
Isotretinoin,794,764,588,509,334,626,567,597.428571428571
Icaritin,168,261,634,1851,194,252,841,600.142857142857
Phenol,1026,635,397,634,539,404,581,602.285714285714
Valdecoxib,534,465,423,554,1011,661,572,602.857142857142
Fenofibric acid,502,282,413,1212,343,962,519,604.714285714285
"3,5-diiodothyropropionic acid",290,456,646,955,910,473,505,605
Brivanib,290,456,646,955,910,473,505,605
Fluocinolone,290,456,646,955,910,473,505,605
Pentobarbital,818,770,258,333,442,654,964,605.571428571428
Pantoprazole,820,345,383,311,909,883,591,606
Ethylmercurithiosalicylic acid,1147,518,386,693,306,408,804,608.857142857142
Carbon dioxide,1110,578,277,765,874,390,271,609.285714285714
S-Hydroxycysteine,1147,605,492,650,492,487,402,610.714285714285
Cupric Chloride,247,383,456,1524,473,528,670,611.571428571428
Alpha-Linolenic Acid,668,1083,165,72,132,1809,357,612.285714285714
Perindopril,640,1281,218,939,544,411,265,614
Disopyramide,794,989,410,404,401,331,971,614.285714285714
Digoxin,502,356,971,598,256,760,872,616.428571428571
Liothyronine,1096,806,395,175,1454,117,278,617.285714285714
Levodopa,904,689,548,282,564,665,673,617.857142857142
Domoic Acid,534,413,847,1098,574,469,394,618.428571428571
Vinblastine,975,776,723,331,353,539,637,619.142857142857
Pentoxifylline,1054,867,356,285,668,663,447,620
Azilsartan medoxomil,184,940,469,1820,758,37,140,621.142857142857
Hydroxyfasudil,1147,797,698,364,626,549,171,621.714285714285
CHS-828,534,358,1401,923,221,226,690,621.857142857142
Arotinoid acid,1147,842,375,321,280,650,760,625
Miltefosine,696,87,503,1843,1011,74,171,626.428571428571
Lamotrigine,794,835,572,458,470,743,517,627
Hydroxyurea,1129,641,209,469,293,620,1034,627.857142857142
Leflunomide,794,540,778,149,319,1270,545,627.857142857142
Streptozocin,794,1159,428,758,451,424,382,628
AZD-8055,1147,229,554,738,1250,320,161,628.428571428571
Estrone,984,158,590,1160,477,647,404,631.428571428571
Sitagliptin,669,1262,226,279,1048,380,560,632
Creatine,1147,268,421,1212,750,324,304,632.285714285714
Gemfibrozil,471,479,789,360,390,1597,345,633
Trametinib,696,548,816,738,490,113,1041,634.571428571428
Beta carotene,1147,283,966,813,392,683,178,637.428571428571
Irofulven,151,611,426,1379,696,344,859,638
Bumetanide,279,692,470,692,705,901,728,638.142857142857
Marimastat,1141,832,537,423,523,725,290,638.714285714285
Eplerenone,502,680,333,619,1212,624,519,641.285714285714
Clioquinol,696,237,1224,1264,298,203,586,644
Nicotinamide,696,621,751,1157,455,358,474,644.571428571428
Ruboxistaurin,909,522,584,315,814,665,720,647
2'-cyano-2'-deoxy-1-(beta-D-arabinofuranosyl)cytosine,696,299,1381,1117,200,233,605,647.285714285714
"1,4-Dithiothreitol",1147,836,561,546,199,412,831,647.428571428571
Puromycin,1147,308,290,991,497,603,712,649.714285714285
Uridine 5'-triphosphate,834,793,753,400,1250,122,400,650.285714285714
Trichloroethylene,279,1249,180,227,1639,385,602,651.571428571428
Pimagedine,640,1073,553,288,565,677,766,651.714285714285
Carnosine,696,302,1109,1264,154,639,406,652.857142857142
Cyanamide,184,92,444,1830,800,358,872,654.285714285714
Aripiprazole,1146,1285,502,233,509,608,306,655.571428571428
Lutein,218,541,1054,1624,365,533,257,656
Etretinate,984,834,763,123,584,596,712,656.571428571428
Onapristone,834,471,886,364,523,606,918,657.428571428571
Dinaciclib,909,1084,876,345,175,240,974,657.571428571428
Cysteamine,502,1468,885,433,328,616,384,659.428571428571
Methotrexate,887,95,791,343,487,983,1038,660.571428571428
Toluene,218,88,392,1041,1786,629,474,661.142857142857
Menadione,1051,673,247,666,658,532,810,662.428571428571
Thioridazine,1109,1147,453,333,402,348,857,664.142857142857
Aleglitazar,111,629,941,1458,273,671,572,665
Propafenone,909,508,376,313,907,682,976,667.285714285714
Lenvatinib,1147,772,640,881,459,440,343,668.857142857142
"3,4-Dihydroxycinnamic Acid",92,288,759,872,1212,427,1041,670.142857142857
Epirubicin,1026,611,663,868,379,541,604,670.285714285714
Bepridil,80,657,612,216,755,1337,1041,671.142857142857
Metoprolol,1139,1357,148,112,450,452,1041,671.285714285714
Desloratadine,696,1125,634,768,785,433,272,673.285714285714
Nimodipine,904,1240,344,272,384,656,916,673.714285714285
Pimozide,981,1506,581,368,452,393,441,674.571428571428
Ozone,1061,855,541,910,294,748,314,674.714285714285
Rebamipide,1096,1465,549,374,469,418,361,676
Phenytoin,692,1433,242,173,368,1446,381,676.428571428571
1-naphthaleneacetic acid,290,954,784,369,545,1035,768,677.857142857142
Baclofen,794,1138,472,101,732,771,746,679.142857142857
(4E)-N-(4-fluorophenyl)-4-[(phenylcarbonyl)imino]-4H-pyrazole-3-carboxamide,696,706,527,939,563,630,732,684.714285714285
Pasireotide,1147,258,546,1530,645,339,329,684.857142857142
Valspodar,834,530,650,843,329,588,1041,687.857142857142
Magnesium,1091,1213,282,202,1109,465,456,688.285714285714
"6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid",909,960,794,277,439,697,746,688.857142857142
Lauric Acid,1061,1476,524,191,213,360,1002,689.571428571428
Pseudoephedrine,238,1408,706,299,470,669,1041,690.142857142857
Naproxen,1118,751,591,278,749,718,632,691
Cyclic Guanosine Monophosphate,975,354,673,384,395,1016,1041,691.142857142857
3-SULFOOXY-1H-INDOLE,631,1670,174,297,308,1089,670,691.285714285714
ginkgolide-B,640,661,547,546,514,1442,494,692
"N,O6-Disulfo-Glucosamine",1147,504,473,1098,527,631,478,694
SGI-1776,184,92,904,1750,758,323,861,696
4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE,534,117,442,1860,832,483,624,698.857142857142
Purvalanol A,1147,1047,370,843,380,497,621,700.714285714285
Myristic acid,1026,1166,651,353,461,703,560,702.857142857142
Clonidine,1130,1371,346,235,348,467,1037,704.857142857142
Ketanserin,1019,1401,379,221,724,479,712,705
Reserpine,164,1291,340,469,1055,812,808,705.571428571428
Malonaldehyde,696,695,308,1219,1132,786,105,705.857142857142
2-Chlorophenol,290,127,592,1860,1020,443,614,706.571428571428
3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE,290,127,592,1860,1020,443,614,706.571428571428
4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE,290,127,592,1860,1020,443,614,706.571428571428
Celiprolol,1026,992,619,200,993,647,486,709
"N-(2,2,2-TRIFLUOROETHYL)-N-{4-[2,2,2-TRIFLUORO-1-HYDROXY-1-(TRIFLUOROMETHYL)ETHYL]PHENYL}BENZENESULFONAMIDE",1110,553,853,546,323,552,1041,711.142857142857
Latrepirdine,1147,226,562,923,1640,320,161,711.285714285714
Sapanisertib,1147,226,562,923,1640,320,161,711.285714285714
Crocin,218,991,685,533,1048,791,717,711.857142857142
Rigosertib,247,377,611,1843,817,258,836,712.714285714285
Prednisolone,818,1481,384,194,880,503,745,715
Tazarotene,1080,1080,637,171,573,497,976,716.285714285714
Marizomib,534,778,1620,281,346,930,529,716.857142857142
Timolol,1026,640,458,947,618,458,872,717
Adenosine monophosphate,1019,533,483,1438,300,749,501,717.571428571428
Vincristine,669,655,1215,491,648,549,804,718.714285714285
Navitoclax,247,954,409,1438,669,279,1041,719.571428571428
Malathion,159,653,802,747,562,1087,1041,721.571428571428
Boceprevir,290,642,1295,610,1794,133,291,722.142857142857
Aliskiren,892,1494,481,369,514,1108,227,726.428571428571
Paricalcitol,519,1351,360,952,681,599,638,728.571428571428
Veliparib,474,714,582,1087,660,781,804,728.857142857142
Neflamapimod,834,113,266,1702,1132,391,676,730.571428571428
Losmapimod,534,110,665,1860,881,443,624,731
Terfenadine,684,1283,374,552,1081,464,687,732.142857142857
Oltipraz,1134,454,598,879,226,1090,746,732.428571428571
BQ-123,502,1131,293,1438,527,863,394,735.428571428571
Lapachone,247,481,818,1656,791,494,665,736
Epoprostenol,684,1688,229,247,264,1034,1007,736.142857142857
Tioguanine,502,700,702,802,1169,655,624,736.285714285714
Salbutamol,132,1293,793,980,907,601,450,736.571428571428
Tibolone,984,947,604,385,510,689,1041,737.142857142857
Dilmapimod,534,114,536,1860,1056,460,614,739.142857142857
Methylphenidate,502,1230,868,400,410,729,1041,740
Mitoxantrone,1096,613,373,1770,310,439,580,740.142857142857
Abemaciclib,290,335,1427,1660,707,389,377,740.714285714285
Inosine,984,304,301,1122,1295,747,443,742.285714285714
N-Ethylmaleimide,1110,787,1078,693,295,1021,216,742.857142857142
Stearic acid,909,684,853,423,626,760,949,743.428571428571
Brefeldin A,984,674,420,719,732,669,1007,743.571428571428
Oleandrin,834,662,427,1387,560,377,963,744.285714285714
Danusertib,696,758,1204,1398,159,241,760,745.142857142857
Imiquimod,1061,511,378,947,1151,667,501,745.142857142857
"N~6~-cyclohexyl-N~2~-(4-morpholin-4-ylphenyl)-9H-purine-2,6-diamine",534,1363,618,802,684,508,720,747
Venlafaxine,238,1314,394,296,838,1112,1041,747.571428571428
4-(2-Aminoethyl)Benzenesulfonyl Fluoride,909,246,688,1856,696,450,391,748
Topiramate,975,487,377,880,655,1166,710,750
Hexylresorcinol,247,335,678,1160,812,985,1041,751.142857142857
Parthenolide,1121,812,338,809,839,329,1031,754.142857142857
Clomipramine,496,1565,389,717,520,690,911,755.428571428571
Mecamylamine,247,495,777,1400,785,585,1006,756.428571428571
N-omega-nitro-L-arginine methyl ester,1147,466,462,1452,384,376,1014,757.285714285714
Triamterene,909,367,1679,661,278,639,768,757.285714285714
Betulinic Acid,1147,734,532,1398,387,525,581,757.714285714285
"4-(5-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)benzoic acid",290,407,1447,1002,1359,531,282,759.714285714285
Oxamic Acid,1080,944,412,799,848,412,830,760.714285714285
Talmapimod,696,139,568,1860,1132,423,512,761.428571428571
Thiopental,1147,595,579,758,892,895,464,761.428571428571
Sucrose,810,1216,843,333,413,693,1036,763.428571428571
Risedronate,834,1005,972,168,921,816,635,764.428571428571
"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",834,328,799,661,732,1014,991,765.571428571428
Phenobarbital,1025,560,337,1121,569,1017,731,765.714285714285
Orlistat,1134,729,832,429,621,870,765,768.571428571428
Dienogest,696,499,1165,1078,405,773,766,768.857142857142
PX-12,1147,408,1016,991,309,595,918,769.142857142857
Midomafetamine,1133,1167,309,649,391,1022,718,769.857142857142
Gabapentin,820,1152,490,758,554,577,1041,770.285714285714
Flutamide,461,1284,832,200,321,1308,991,771
Probenecid,1147,1375,348,546,984,506,501,772.428571428571
Methamphetamine,1130,1507,419,744,266,342,1003,773
Danazol,964,573,491,1201,517,1086,585,773.857142857142
Piclamilast,184,981,1248,1285,723,636,363,774.285714285714
TAK-733,290,658,1058,863,725,793,1041,775.428571428571
Batimastat,1147,639,1071,337,584,1109,545,776
7-Nitroindazole,1147,728,582,400,1232,605,746,777.142857142857
Methylprednisolone,820,1218,538,297,743,1087,746,778.428571428571
Benzoyl peroxide,184,556,480,980,1112,1568,572,778.857142857142
Ciprofloxacin,974,1287,270,967,414,646,899,779.571428571428
4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,1147,725,350,1098,506,591,1041,779.714285714285
Naphthyridine Inhibitor,1147,725,350,1098,506,591,1041,779.714285714285
Podofilox,1080,447,664,1771,396,383,718,779.857142857142
Pyruvic acid,640,461,580,1078,1182,855,665,780.142857142857
Tamibarotene,1061,1519,422,337,473,660,991,780.428571428571
"N-{3-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl}propane-1-sulfonamide",474,1432,404,1122,791,543,712,782.571428571428
Taurocholic Acid,1026,463,486,484,1048,1106,871,783.428571428571
Pentosan Polysulfate,834,870,177,1843,574,596,594,784
Rifabutin,696,636,1073,671,732,1456,235,785.571428571428
Digitoxin,834,817,571,634,812,960,872,785.714285714285
Fendiline,290,599,976,1860,1309,168,300,786
3-(Benzyloxy)Pyridin-2-Amine,534,131,623,1860,1250,483,624,786.428571428571
Dronedarone,684,1477,465,419,783,657,1025,787.142857142857
Griseofulvin,1147,1236,467,719,1046,482,414,787.285714285714
Pevonedistat,502,953,830,1087,1151,529,465,788.142857142857
Loratadine,661,828,552,656,935,989,911,790.285714285714
Sodium fluoride,1147,789,535,697,1396,424,548,790.857142857142
Trabectedin,1147,569,566,1458,261,497,1041,791.285714285714
Foretinib,1147,574,911,1379,381,650,505,792.428571428571
Cladribine,1054,452,603,868,1052,653,870,793.142857142857
Dextromethorphan,534,346,722,1728,513,675,1041,794.142857142857
Trapidil,1147,766,822,853,1117,473,384,794.571428571428
Phenformin,247,693,707,1204,1005,674,1041,795.857142857142
Glycine betaine,909,554,1070,391,844,873,934,796.428571428571
N-(3-(Aminomethyl)Benzyl)Acetamidine,1147,768,807,369,877,776,841,797.857142857142
Omapatrilat,834,1056,1234,428,988,697,348,797.857142857142
Gliquidone,247,682,1412,1264,448,858,676,798.142857142857
Sivelestat,696,1050,585,853,633,1297,480,799.142857142857
Succinic acid,1147,1088,298,650,1246,642,527,799.714285714285
"2,5-DI-(TERT-BUTYL)-1,4,BENZOHYDROQUINONE",1147,563,592,1458,313,497,1041,801.571428571428
Taurolidine,1147,563,592,1458,313,497,1041,801.571428571428
Hydroxychloroquine,1147,449,494,843,1077,593,1025,804
Indinavir,474,624,487,843,1104,1351,746,804.142857142857
Naloxone,1120,1217,764,253,616,622,1041,804.714285714285
Oxaprozin,696,949,687,923,702,911,768,805.142857142857
Gonadorelin,1147,969,485,980,1232,457,369,805.571428571428
Aminophylline,909,536,942,1258,717,429,851,806
Etacrynic acid,640,480,540,809,700,1662,816,806.714285714285
Pictilisib,534,735,1297,1787,650,6,639,806.857142857142
Norethisterone,640,543,696,619,949,1167,1041,807.857142857142
L-Isoleucine,247,619,461,1860,1238,719,529,810.428571428571
Taxifolin,909,565,652,533,800,1266,957,811.714285714285
Triethylenetetramine,1147,771,452,1117,1335,490,384,813.714285714285
Lomustine,534,608,1010,1728,1359,168,300,815.285714285714
Phentermine,168,690,867,433,648,1867,1041,816.285714285714
Ramipril,909,1548,565,472,904,867,452,816.714285714285
Axitinib,834,607,1265,738,827,881,572,817.714285714285
"6-AMINO-BENZO[DE]ISOQUINOLINE-1,3-DIONE",534,477,962,1219,1053,791,720,822.285714285714
Diazepinomicin,290,579,1475,1530,881,167,841,823.285714285714
Corticosterone,1014,1605,381,287,460,1062,956,823.571428571428
"4-[4-AMINO-6-(5-CHLORO-1H-INDOL-4-YLMETHYL)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE",1147,384,1606,1002,252,632,752,825
Imexon,1147,384,1606,1002,252,632,752,825
N5-Iminoethyl-L-Ornithine,1147,344,654,1728,971,684,248,825.142857142857
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",290,875,1363,1860,750,9,639,826.571428571428
Sonolisib,290,875,1363,1860,750,9,639,826.571428571428
Fasudil,1147,1487,745,290,876,695,548,826.857142857142
"(4R,5R)-1,2-dithiane-4,5-diol",1147,946,1289,955,188,303,971,828.428571428571
Cyclophosphamide,1124,1058,488,932,731,579,900,830.285714285714
Adapalene,984,1268,1028,293,519,680,1041,830.428571428571
Sotrastaurin,834,517,1004,1860,541,504,562,831.714285714285
Fenfluramine,1054,1449,544,238,824,690,1029,832.571428571428
Enzalutamide,184,1244,439,1379,356,1193,1041,833.714285714285
Naltrexone,1061,1543,512,315,745,626,1041,834.714285714285
Phentolamine,1096,1568,380,351,700,730,1018,834.714285714285
Anthranilic acid,1147,557,1315,1167,480,151,1041,836.857142857142
Pyroxamide,290,670,1367,1702,350,858,624,837.285714285714
Resminostat,290,670,1367,1702,350,858,624,837.285714285714
Tacedinaline,290,670,1367,1702,350,858,624,837.285714285714
Kinetin,834,522,1548,738,443,745,1041,838.714285714285
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",502,1442,1165,719,848,609,591,839.428571428571
(2S)-2-(4-chlorophenoxy)-3-phenylpropanoic acid,290,857,1060,1458,590,991,639,840.714285714285
(2S)-2-(4-ethylphenoxy)-3-phenylpropanoic acid,290,857,1060,1458,590,991,639,840.714285714285
(2S)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid,290,857,1060,1458,590,991,639,840.714285714285
"(2S)-5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-2,3-dihydro-4H-chromen-4-one",290,857,1060,1458,590,991,639,840.714285714285
"2,4-thiazolidinedione",290,857,1060,1458,590,991,639,840.714285714285
3-(5-methoxy-1H-indol-3-yl)propanoic acid,290,857,1060,1458,590,991,639,840.714285714285
Capric acid,290,857,1060,1458,590,991,639,840.714285714285
Efatutazone,290,857,1060,1458,590,991,639,840.714285714285
[2-Cytidylate-O'-Phosphonyloxyl]-Ethyl-Trimethyl-Ammonium,696,631,797,1524,720,973,554,842.142857142857
Deoxythymidine,1147,570,857,1043,817,752,720,843.714285714285
Idronoxil,909,814,507,1796,1000,362,519,843.857142857142
Amrinone,696,997,685,991,1132,546,861,844
Eugenol,1110,780,476,432,1526,912,673,844.142857142857
Ortataxel,534,615,556,1285,1663,536,720,844.142857142857
3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE,1147,1503,477,1043,560,492,710,847.428571428571
Flufenamic Acid,519,815,629,533,851,1617,976,848.571428571428
Diazepam,820,1060,457,1624,655,717,618,850.142857142857
Lpc-Ether,696,131,646,1860,1279,618,743,853.285714285714
Mexiletine,696,1091,844,472,659,1172,1041,853.571428571428
Tiratricol,696,390,498,1860,971,1063,505,854.714285714285
Glucosamine,534,1066,1236,1587,650,440,471,854.857142857142
Pomalidomide,909,1243,528,872,1401,463,570,855.142857142857
P-Cresol,984,272,849,1400,1455,705,326,855.857142857142
Astaxanthin,1061,1394,362,467,1182,1018,512,856.571428571428
Mechlorethamine,669,795,588,1397,1212,387,948,856.571428571428
Procainamide,834,1378,905,267,929,874,816,857.571428571428
Fluoxymesterone,247,545,850,1773,618,930,1041,857.714285714285
Atenolol,1026,1065,728,369,839,957,1041,860.714285714285
Repaglinide,247,829,985,1334,641,1118,872,860.857142857142
Amantadine,640,1491,695,629,622,909,1041,861
Carmustine,1026,571,342,914,1540,953,690,862.285714285714
Risperidone,1147,1458,474,328,1149,871,623,864.285714285714
Silver nitrate,1147,1341,700,831,241,1354,444,865.428571428571
Broxuridine,1147,524,1651,134,645,1354,606,865.857142857142
"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide",290,559,1315,514,679,1867,841,866.428571428571
Cyclosporine,984,1068,1403,378,332,865,1041,867.285714285714
Pentamidine,669,816,680,1282,501,1264,859,867.285714285714
Quetiapine,1146,1613,479,797,587,754,708,869.142857142857
[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID,1147,837,1178,1167,556,736,480,871.571428571428
CP-547632,1147,837,1178,1167,556,736,480,871.571428571428
TAK-593,1147,837,1178,1167,556,736,480,871.571428571428
Gpi-1046,290,658,1052,987,954,1623,538,871.714285714285
Allylestrenol,247,496,1205,1750,571,793,1041,871.857142857142
Idarubicin,696,666,746,1843,455,731,967,872
Cacodylic acid,909,491,416,1043,1790,626,836,873
Thymol,1147,971,530,968,1335,495,670,873.714285714285
Methyltrienolone,247,870,862,1438,626,1035,1041,874.142857142857
Glipizide,474,832,1032,1078,717,1071,937,877.285714285714
Sibutramine,640,512,875,831,1005,1787,494,877.714285714285
Dalfampridine,692,981,782,218,626,1807,1041,878.142857142857
Perhexiline,1147,826,677,1787,545,973,192,878.142857142857
Olaparib,111,571,1113,1750,785,1019,816,880.714285714285
Nefazodone,810,1549,482,565,766,967,1035,882
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",1147,1056,676,1587,767,430,512,882.142857142857
Manidipine,1147,583,578,1750,374,704,1041,882.428571428571
CF-102,696,649,821,1219,1216,668,918,883.857142857142
Irbesartan,238,1486,798,1043,409,1460,760,884.857142857142
"(9BETA,13ALPHA,14BETA,17ALPHA)-2-METHOXYESTRA-1,3,5(10)-TRIENE-3,17-DIYL DISULFAMATE",1147,623,671,831,1741,621,562,885.142857142857
N-Omega-Hydroxy-L-Arginine,1147,768,950,391,1335,797,816,886.285714285714
Heroin,984,1585,658,838,461,639,1041,886.571428571428
AZD-7762,696,679,1018,881,1352,720,861,886.714285714285
SU9516,1147,492,1500,492,817,750,1041,891.285714285714
Nandrolone decanoate,247,1059,692,1524,565,1313,841,891.571428571428
Hymenialdisine,1147,485,1499,492,922,658,1041,892
Tipifarnib,909,234,1436,1860,675,455,690,894.142857142857
Nortriptyline,1017,1409,551,444,1131,678,1032,894.571428571428
Nicorandil,1147,313,820,1820,796,659,720,896.428571428571
Nebivolol,1096,1459,570,307,1349,820,676,896.714285714285
Fenoterol,984,819,1013,813,817,802,1041,898.428571428571
Lysergic Acid Diethylamide,1147,1551,693,537,636,687,1041,898.857142857142
"9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE",1147,634,856,979,1077,845,768,900.857142857142
Esreboxetine,151,531,846,1655,1335,752,1041,901.571428571428
Ajulemic acid,534,979,817,1098,1485,584,816,901.857142857142
"1D-myo-inositol 1,4,5-trisphosphate",1026,1312,773,406,1522,610,673,903.142857142857
Fentanyl,1026,1599,878,509,497,814,1007,904.285714285714
Sumatriptan,1147,1553,717,423,763,687,1041,904.428571428571
Edetic Acid,1142,1896,256,383,518,1619,548,908.857142857142
Pentagastrin,247,1405,304,1660,1056,1122,572,909.428571428571
Sincalide,1147,409,1008,1458,633,675,1041,910.142857142857
Chlorphenamine,238,1223,823,509,705,1867,1014,911.285714285714
Valsartan,794,1265,364,639,918,1423,991,913.428571428571
"(5BETA)-PREGNANE-3,20-DIONE",1147,841,1532,541,988,636,712,913.857142857142
L-Carnitine,534,942,825,1728,652,973,752,915.142857142857
SB-409513,1147,952,1140,1773,480,405,512,915.571428571428
Cimetidine,1142,1441,366,666,1168,886,742,915.857142857142
3-Bromo-7-Nitroindazole,1147,730,877,353,1715,776,816,916.285714285714
Epicatechin,534,568,407,1264,1794,813,1041,917.285714285714
Halothane,1054,1537,606,170,449,1595,1023,919.142857142857
Amprenavir,984,459,632,454,1791,1620,519,922.714285714285
Mebendazole,1147,794,1269,1087,545,781,836,922.714285714285
Penicillamine,696,525,757,1860,690,890,1041,922.714285714285
Licofelone,1147,820,674,514,1694,1030,586,923.571428571428
"1,2-Dihydroxybenzene",1147,1410,531,738,1396,526,728,925.142857142857
S-Ethyl-N-Phenyl-Isothiourea,1147,676,1053,309,1677,802,816,925.714285714285
Quinestrol,534,316,1823,1660,623,793,732,925.857142857142
Chlorotrianisene,290,414,1725,1587,580,845,1041,926
Fulvestrant,290,414,1725,1587,580,845,1041,926
Phenyl salicylate,290,414,1725,1587,580,845,1041,926
RALOXIFENE CORE,290,414,1725,1587,580,845,1041,926
Sulpiride,909,1081,1051,1204,715,664,861,926.428571428571
Floxuridine,834,1008,674,1379,712,991,902,928.571428571428
Bacitracin,1147,493,1758,537,730,1462,377,929.142857142857
13-Acetylphorbol,290,411,1010,1702,1132,930,1041,930.857142857142
U-Pi-a-Pi,290,716,1852,1860,406,824,572,931.428571428571
Famotidine,696,1004,1010,1660,942,292,918,931.714285714285
Cycloserine,1147,444,905,1438,800,758,1041,933.285714285714
Mycophenolic acid,909,666,1003,1379,717,897,971,934.571428571428
Epigallocatechin,696,1050,520,843,1794,878,768,935.571428571428
Atazanavir,669,998,468,1436,839,1167,976,936.142857142857
Ezetimibe,892,1545,460,952,737,956,1020,937.428571428571
Methylthioinosine,1147,870,760,1860,767,580,581,937.857142857142
Sulfisoxazole,1147,870,760,1860,767,580,581,937.857142857142
Dobutamine,247,1079,1255,1285,696,973,1041,939.428571428571
Zebularine,474,1337,963,1078,1275,614,836,939.571428571428
Terbutaline,640,1075,1636,980,940,283,1025,939.857142857142
Gallium nitrate,1147,951,642,719,950,1147,1025,940.142857142857
N-[2-(4-BROMOCINNAMYLAMINO)ETHYL]-5-ISOQUINOLINE SULFONAMIDE,111,542,1183,1851,1745,642,519,941.857142857142
Olmesartan,502,1358,636,750,1613,1247,494,942.857142857142
Urapidil,984,1898,679,554,1082,485,918,942.857142857142
Glutamic Acid,1147,1313,792,271,1740,652,688,943.285714285714
Ergotamine,1124,1567,720,419,1334,611,831,943.714285714285
Omeprazole,1140,1589,539,758,570,1060,964,945.714285714285
Naphthalene Trisulfonate,1147,970,801,1458,577,736,935,946.285714285714
Modafinil,1147,1234,1108,650,553,909,1041,948.857142857142
